2025-06-19 18:37:46 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame arrecadacao_iof: 0 erros encontrados
2025-06-19 18:37:46 | INFO     | dashboard_economico.data_manager | data_manager.load_indicator_data:197 | Dados do indicador arrecadacao_iof carregados: 58 registros
2025-06-19 18:37:46 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame deficit_primario: 0 erros encontrados
2025-06-19 18:37:46 | INFO     | dashboard_economico.data_manager | data_manager.load_indicator_data:197 | Dados do indicador deficit_primario carregados: 55 registros
2025-06-19 18:37:46 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame desemprego: 0 erros encontrados
2025-06-19 18:37:46 | INFO     | dashboard_economico.data_manager | data_manager.load_indicator_data:197 | Dados do indicador desemprego carregados: 60 registros
2025-06-19 18:37:46 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame pib: 1 erros encontrados
2025-06-19 18:37:46 | WARNING  | dashboard_economico.data_manager | data_manager.load_indicator_data:189 | Dados do indicador pib contêm erros: ['Alto percentual de outliers detectados: 15.0% (3 de 20 observações)']
2025-06-19 18:37:46 | INFO     | dashboard_economico.validators | validators.sanitize_dataframe:376 | DataFrame sanitizado: 20 -> 20 registros
2025-06-19 18:37:46 | INFO     | dashboard_economico.data_manager | data_manager.load_indicator_data:197 | Dados do indicador pib carregados: 20 registros
2025-06-19 18:37:46 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para ipca usando modelo moving_average
2025-06-19 18:37:47 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para selic usando modelo prophet
2025-06-19 18:37:47 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para cambio_ptax_venda usando modelo prophet
2025-06-19 18:37:48 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para arrecadacao_iof usando modelo prophet
2025-06-19 18:37:48 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para deficit_primario usando modelo prophet
2025-06-19 18:37:49 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para desemprego usando modelo prophet
2025-06-19 18:37:49 | WARNING  | dashboard_economico.forecast_models | forecast_models.generate_forecast:97 | Dados insuficientes para previsão: 20 < 24
2025-06-19 18:37:49 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 7 de 7 indicadores solicitados
2025-06-19 18:37:49 | INFO     | dashboard_economico.data_manager | data_manager.get_correlation_matrix:329 | Matriz de correlação calculada para 7 indicadores
2025-06-19 18:37:49 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 7 de 7 indicadores solicitados
2025-06-19 18:37:49 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:37:49 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame ipca: 0 erros encontrados
2025-06-19 18:37:49 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame selic: 0 erros encontrados
2025-06-19 18:37:49 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame cambio_ptax_venda: 0 erros encontrados
2025-06-19 18:37:49 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame deficit_primario: 0 erros encontrados
2025-06-19 18:37:49 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame arrecadacao_iof: 0 erros encontrados
2025-06-19 18:37:49 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame pib: 1 erros encontrados
2025-06-19 18:37:49 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame desemprego: 0 erros encontrados
2025-06-19 18:37:49 | INFO     | dashboard_economico.data_manager | data_manager.get_data_quality_report:384 | Relatório de qualidade gerado: 6/7 indicadores válidos
2025-06-19 18:46:19 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:46:20 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para ipca usando modelo moving_average
2025-06-19 18:46:21 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para selic usando modelo prophet
2025-06-19 18:46:22 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para cambio_ptax_venda usando modelo prophet
2025-06-19 18:46:22 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para arrecadacao_iof usando modelo prophet
2025-06-19 18:46:22 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para deficit_primario usando modelo prophet
2025-06-19 18:46:23 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:46:23 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para ipca usando modelo moving_average
2025-06-19 18:46:23 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para desemprego usando modelo prophet
2025-06-19 18:46:24 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para selic usando modelo prophet
2025-06-19 18:46:25 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para cambio_ptax_venda usando modelo prophet
2025-06-19 18:46:25 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para arrecadacao_iof usando modelo prophet
2025-06-19 18:46:26 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para deficit_primario usando modelo prophet
2025-06-19 18:46:26 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para desemprego usando modelo prophet
2025-06-19 18:46:26 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 6 de 6 indicadores solicitados
2025-06-19 18:46:26 | INFO     | dashboard_economico.data_manager | data_manager.get_correlation_matrix:329 | Matriz de correlação calculada para 6 indicadores
2025-06-19 18:46:26 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 6 de 6 indicadores solicitados
2025-06-19 18:46:26 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:46:26 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame ipca: 0 erros encontrados
2025-06-19 18:46:26 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame selic: 0 erros encontrados
2025-06-19 18:46:26 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame cambio_ptax_venda: 0 erros encontrados
2025-06-19 18:46:26 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame deficit_primario: 0 erros encontrados
2025-06-19 18:46:26 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame arrecadacao_iof: 0 erros encontrados
2025-06-19 18:46:26 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame pib: 1 erros encontrados
2025-06-19 18:46:26 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame desemprego: 0 erros encontrados
2025-06-19 18:46:26 | INFO     | dashboard_economico.data_manager | data_manager.get_data_quality_report:384 | Relatório de qualidade gerado: 6/7 indicadores válidos
